pdv_code,lat,lon,demanda,frecuencia,sector,visitas,hora_inicio,hora_fin,cluster
615071,20.61537,-100.4463,2400,2,1D7,10010,,,7
615072,20.60802,-100.4383,1100,2,X11,10010,,,1
615073,20.61599,-100.4448,790,2,1D7,10010,,,7
615075,20.61161,-100.4416,280,2,X11,x,07:00,13:00,7
615076,20.60818,-100.4407,510,1,X11,x,,,1
615077,20.62574,-100.4443,240,1,1D7,x,,,7
632383,20.59333,-100.3989,2000,1,XC5,x,,,5
634458,20.60389,-100.3999,3100,2,XC5,x,,,5
636879,20.60265,-100.4034,490,1,XC5,x,,,6
640128,20.58925,-100.3808,260,2,ZN8,x,07:00,13:00,5
640132,20.59035,-100.3767,280,1,ZN8,x,07:00,13:00,8
640149,20.61104,-100.36839,470,2,ZN8,x,,,8
641429,20.58742,-100.3988,200,1,M87,x,,,8
643504,20.55884,-100.3978,1800,2,1D4,x,07:00,13:00,10
648558,20.63171,-100.3846,500,2,M92,x,,,6
648571,20.63403,-100.40158,420,2,M92,x,,,2
650840,20.63817,-100.4651,570,2,XC6,x,,,2
650871,20.64571,-100.4621,540,2,ZN9,x,,,3
656964,20.65034,-100.4513,1900,2,ZN9,x,,,3
657247,20.57073,-100.4142,2200,2,ZN6,100100,,,3
657282,20.600567,-100.449285,1000,1,1D7,x,,,10
657285,20.59681,-100.4452,380,2,1D7,x,,,1
661514,20.63685,-100.39638,660,2,M92,x,,,1
661747,20.60596,-100.3969,960,1,XC5,x,,,2
662228,20.65356,-100.44641,1400,2,ZN9,x,,,5
662243,20.64359,-100.4683,880,2,ZN9,x,,,3
662835,20.66276,-100.5095,210,1,M79,x,,,4
662861,20.65883,-100.517,300,1,M79,x,,,4
665529,20.59835,-100.4102,1300,1,XC5,x,,,4
665598,20.5435,-100.4061,1000,2,ZN6,x,,,10
666358,20.59359932,-100.4464035,1800,1,1D7,x,,,0
667440,20.56943,-100.4125,1100,2,ZN6,x,,,1
667464,20.61796,-100.4446,450,1,1D7,x,,,10
667684,20.58734,-100.4106,880,1,M87,x,,,7
667685,20.5879,-100.4082,1700,1,M87,x,,,10
667984,20.54351,-100.4057,1700,2,ZN6,x,,,10
674166,20.662,-100.5112,450,1,M79,x,,,0
675533,20.66091,-100.5138,350,1,M79,x,,,4
682922,20.57142,-100.3742,1100,1,ZN8,x,,,4
683136,20.54261,-100.4011,2200,2,ZN6,100100,,,6
684116,20.54347992,-100.40570068,480,1,ZN6,x,,,0
684118,20.53101,-100.4089,1200,2,ZN6,x,,,0
684119,20.536,-100.4066,1700,2,ZN6,x,,,0
686480,20.5926,-100.388,730,2,ZN8,x,,,0
694516,20.66291,-100.5094,220,1,M79,x,,,5
694888,20.58196068,-100.4217987,1500,1,M87,x,,,4
694910,20.58105,-100.4216,560,1,M87,x,,,10
695672,20.60456,-100.441,180,2,X11,x,,,10
696557,20.63956,-100.4701,410,2,XC6,x,,,1
696678,20.63214,-100.4569,240,2,XC6,x,,,4
696690,20.65463,-100.3862,3200,2,M77,x,,,7
696691,20.65093,-100.3858,400,2,M77,x,,,12
696692,20.62908,-100.3904,900,2,M92,x,,,12
696694,20.64633,-100.4008,570,2,M92,x,,,2
697192,20.5658,-100.4037,300,2,M87,x,07:00,13:00,2
697681,20.53524017,-100.40840149,930,1,ZN6,x,,,6
697907,20.60584068,-100.4400024,2000,1,X11,x,,,0
698099,20.65083,-100.40026,680,2,M92,x,,,1
698375,20.59458,-100.4469,840,2,1D7,x,,,2
698387,20.6164,-100.4136,1700,1,M81,x,,,1
699098,20.57698,-100.3972,350,2,M87,x,,,9
700500,20.67394,-100.4576,500,1,M79,x,,,10
701179,20.63671,-100.39747,370,2,M92,x,,,3
701785,20.60978,-100.433,520,1,X11,x,,,2
703332,20.64553,-100.39969,400,2,M92,x,,,9
703333,20.65063,-100.39914,570,2,M77,x,,,2
703334,20.63247,-100.4554,1300,2,XC6,x,,,2
705341,20.61963,-100.4742,530,2,1D7,x,,,7
706470,20.63873,-100.39825,530,2,M92,x,,,3
706478,20.63505,-100.4731,180,2,XC6,x,,,4
708705,20.55678,-100.4043,210,2,ZN6,x,07:00,13:00,2
712049,20.63063,-100.41492,450,2,M81,x,,,4
712073,20.64423,-100.4719,520,2,ZN9,x,,,0
716924,20.55632,-100.3934,320,1,1D4,x,07:00,13:00,9
718688,20.60281,-100.433,810,2,X11,x,,,4
718824,20.56126,-100.4132,370,1,ZN6,x,,,0
719860,20.64237,-100.4725,510,2,ZN9,x,,,1
723786,20.54406,-100.4059,220,1,ZN6,100000,,,0
725363,20.57186,-100.3911,660,2,M87,x,,,4
728456,20.62211,-100.4445,1600,1,1D7,x,,,0
728460,20.63157,-100.4452,2640,2,XC6,x,,,6
729734,20.58261,-100.3734,310,1,ZN8,x,,,7
729735,20.59448,-100.3854,850,2,ZN8,x,,,7
730720,20.5777092,-100.4197006,1600,1,M87,x,07:00,13:00,8
730730,20.60578,-100.423,430,1,X11,x,,,8
731040,20.61222,-100.4437,3200,2,1D7,10010,07:00,13:00,10
731283,20.5984,-100.4333,2100,2,X11,x,,,9
731310,20.60525,-100.4414,500,2,X11,x,,,1
733651,20.59745,-100.4054,220,1,XC5,x,,,1
736347,20.58223,-100.37341,560,2,ZN8,x,,,1
739362,20.55542,-100.3918,540,2,1D4,1001,07:00,13:00,5
739975,20.61411,-100.4155,580,2,M81,x,,,8
740266,20.55162,-100.3829,2800,2,1D4,100100,07:00,13:00,6
740357,20.56839,-100.4109,1100,2,ZN6,100100,,,9
740367,20.59691,-100.4116,1500,1,XC5,x,,,6
740394,20.53121,-100.4106,1900,2,ZN6,x,,,10
740489,20.58512,-100.3761,220,2,ZN8,x,07:00,13:00,5
740681,20.59795,-100.4026,760,1,XC5,x,,,0
740692,20.60236,-100.4045,240,1,XC5,x,,,8
740702,20.61729,-100.4195,2580,1,M81,x,,,5
740717,20.59319,-100.4,690,1,XC5,x,,,5
740721,20.5962,-100.3955,610,1,XC5,x,,,9
741384,20.59864,-100.4032,1800,2,XC5,x,,,10
741838,20.61276,-100.44813,790,1,1D7,x,,,5
746778,20.57168961,-100.4044037,690,1,M87,x,,,5
747952,20.63018,-100.4543,680,1,XC6,x,,,7
749826,20.56319,-100.3871,1700,2,1D4,x,,,10
752019,20.63047,-100.4624,400,2,XC6,x,,,7
752664,20.6587,-100.4718,890,2,ZN9,x,,,6
757302,20.60281,-100.4022,420,2,XC5,x,,,7
759094,20.62821,-100.4469,190,1,XC6,x,,,4
760447,20.74142,-100.4535,1200,2,M79,x,,,5
760882,20.56729,-100.4199,770,2,ZN6,x,,,7
761184,20.57075,-100.3898,380,1,M87,x,,,11
761185,20.57062,-100.3902,470,1,M87,x,,,10
762911,20.6022,-100.4383,3360,2,X11,100100,,,6
764670,20.54959,-100.3953,480,1,1D4,x,,,6
766001,20.60886,-100.4241,2200,1,X11,x,,,1
768226,20.60742,-100.4027,1000,1,XC5,x,07:00,13:00,0
770081,20.63695,-100.4678,860,2,XC6,x,,,9
772356,20.60348,-100.4417,3100,2,X11,x,,,5
772357,20.60473,-100.4379,320,2,X11,x,,,4
772358,20.57077,-100.3726,1500,2,ZN8,100100,,,1
772858,20.62912,-100.44609,510,2,XC6,x,,,1
777935,20.62645,-100.447,1400,1,XC6,x,,,6
779020,20.62608,-100.4441,1900,2,XC6,100100,,,7
781561,20.63161,-100.4563,300,2,XC6,x,,,7
781563,20.64231,-100.4676,1300,2,ZN9,x,,,7
785811,20.68294,-100.4526,480,1,M79,x,,,3
788654,20.64991,-100.39462,610,2,M77,x,,,3
790356,20.58725,-100.4068,370,1,M87,x,,,11
795989,20.62692,-100.3991,3240,2,M92,x,,,2
801525,20.56176,-100.3763,430,2,1D4,x,07:00,13:00,10
807993,20.56245,-100.3896,2000,2,1D4,x,,,5
813495,20.64449,-100.4732,460,2,ZN9,x,,,6
813503,20.64119,-100.4641,460,2,ZN9,x,,,6
823659,20.63282,-100.3973,830,2,M92,x,,,4
823660,20.64334,-100.3957,280,2,M92,x,,,3
824284,20.59974,-100.35822,1800,2,ZN8,10010,07:00,13:00,2
824495,20.56675,-100.39,1200,2,M87,x,,,2
824509,20.67914,-100.4534,240,1,M79,x,,,8
824522,20.65424,-100.385,180,1,M77,x,,,6
824530,20.69446,-100.4805,420,1,M79,x,,,11
833251,20.62726,-100.4576,540,2,XC6,x,,,12
833603,20.59925,-100.4311,340,2,X11,x,,,11
833627,20.73729,-100.4474,1100,1,M79,x,,,7
833632,20.74113,-100.4498,570,2,M79,x,07:00,13:00,1
837306,20.74131,-100.447,1200,2,M79,x,,,11
838920,20.65207,-100.3984,1200,2,M77,x,,,11
838931,20.74387,-100.4473,7200,2,M79,x,07:00,13:00,11
839677,20.64216,-100.4745,710,2,ZN9,x,,,2
839938,20.74062,-100.4486,950,1,M79,x,,,11
839939,20.74077,-100.44691,220,1,M79,x,,,4
841142,20.6451,-100.40137,550,2,M92,x,,,11
841145,20.64359,-100.4009,370,2,M92,x,,,11
845762,20.61201,-100.3767,2300,2,ZN8,100100,07:00,13:00,2
845765,20.61381,-100.3735,1000,2,ZN8,x,,,2
876374,20.63071,-100.4047,660,2,M81,x,,,5
876996,20.64124,-100.4638,260,2,ZN9,x,,,8
877001,20.55607,-100.404,250,1,ZN6,x,07:00,13:00,2
877848,20.62265,-100.40985,380,2,M81,x,,,3
877849,20.62785,-100.40826,2700,2,M81,x,,,0
878349,20.6166,-100.4681,1100,1,1D7,x,07:00,13:00,9
880445,20.55674,-100.3882,770,1,1D4,x,,,2
884097,20.60317,-100.3908,1000,1,XC5,x,,,7
887175,20.59605,-100.4299,690,2,X11,x,,,6
887999,20.63021,-100.3942,300,2,M92,x,,,5
889737,20.60361,-100.4028,400,2,XC5,x,,,1
889739,20.60399,-100.3972,650,1,XC5,x,,,5
889756,20.82719,-100.4722,360,1,M79,x,,,5
898393,20.62984,-100.4684,2400,2,XC6,x,,,5
898394,20.67705,-100.4558,1500,1,M79,x,,,11
898404,20.63094,-100.40653,1100,2,M81,x,,,4
900104,20.59592,-100.4061,420,1,XC5,x,,,11
901655,20.6082,-100.3959,240,1,XC5,x,07:00,13:00,2
901656,20.65073,-100.40082,390,2,M92,x,,,10
901659,20.63427,-100.39473,180,2,M92,x,,,5
911076,20.59571,-100.4496,340,1,1D7,x,,,2
923620,20.601513,-100.440698,1800,2,X11,x,,,2
923629,20.60701,-100.4405,330,2,X11,x,,,1
923641,20.59035,-100.3833,340,2,ZN8,x,07:00,13:00,1
925083,20.59799,-100.3798,1400,1,ZN8,x,,,1
925091,20.57375,-100.38842,270,2,M87,x,,,8
925431,20.59805,-100.3768,2900,2,ZN8,100100,,,8
925811,20.64287,-100.39451,1000,2,M92,x,,,6
927021,20.60923,-100.3616,1500,2,ZN8,x,,,8
927022,20.59628,-100.35224,650,2,ZN8,x,,,12
931552,20.64711,-100.4529,2800,2,ZN9,x,07:00,13:00,8
932548,20.62588,-100.41418,330,2,M81,x,,,8
936535,20.55864,-100.3773,1800,2,1D4,x,07:00,13:00,3
936539,20.62776,-100.41066,1500,2,M81,x,,,9
937073,20.77797,-100.4522,360,1,M79,x,,,6
937304,20.61337,-100.4372,710,2,X11,10010,,,9
937316,20.58146095,-100.4225006,340,1,M87,x,,,11
940042,20.57152939,-100.40450287,740,1,M87,x,,,1
946555,20.53486,-100.4075,180,1,ZN6,x,,,10
947041,20.56038,-100.3914,860,1,1D4,x,,,10
947047,20.73096,-100.44358,770,1,M79,x,,,0
947050,20.74206,-100.4508,1200,1,M79,x,,,6
947292,20.57871,-100.3859,310,2,M87,x,,,11
948630,20.55088,-100.389,300,1,1D4,x,07:00,13:00,11
950379,20.61687,-100.467,590,1,1D7,x,07:00,13:00,8
951594,20.64805,-100.40025,2000,2,M92,x,,,0
952277,20.60226,-100.3911,1300,1,XC5,x,,,7
953052,20.64914,-100.4004,210,2,M92,x,,,2
953055,20.58102,-100.4235,1000,2,M87,x,,,5
953414,20.63087,-100.3981,1500,1,M92,x,,,2
953419,20.64144,-100.3968,580,2,M92,x,,,10
964253,20.6132,-100.3735,460,1,ZN8,x,,,2
966225,20.54146,-100.3956,1000,2,ZN6,x,,,2
968846,20.6256,-100.3978,1920,2,M92,x,,,8
968852,20.60602,-100.3965,1500,1,XC5,x,07:00,13:00,0
969353,20.56997,-100.3964,370,1,M87,x,,,2
981211,20.63419,-100.3983,560,1,M92,x,,,5
987782,20.55057,-100.38674,500,1,1D4,x,,,10
987787,20.55505,-100.3844,750,2,1D4,x,,,2
988760,20.64103,-100.4671,520,2,ZN9,x,,,0
989259,20.57760048,-100.4196014,470,1,M87,x,07:00,13:00,6
991236,20.58701,-100.4106,2000,2,M87,x,,,4
994628,20.68836,-100.5063,490,1,M79,x,,,10
